store_name,hp_url,tel_num,area
蒲郡天然温泉 湯の花あじさい,http://www.yunohana-ajisai.net/,0533-66-4126,愛知県蒲郡市鹿島町浅井新田1番36(クラスポ蒲郡 内)
天然温泉露天風呂と美肌の湯「宮の湯」,http://miyanoyu.jp/,052-882-8888,愛知県名古屋市熱田区桜田町20-7
京都・烟河（旧亀岡ハイツ）（けぶりかわ）,,0771-26-2345,京都府亀岡市本梅町平松泥ヶ淵1-1
神戸ホテルフルーツ・フラワー　バーデハウス 大沢温泉,,078-954-1000,兵庫県神戸市北区大沢町上大沢西谷2150
玉光湯ひじりのね伏見店（ぎょっこうゆ）,http://hijirinone.com/hijirinone/fushimi/index.html,075-925-1126,京都府京都市伏見区羽束師菱川町678
天然温泉 黄金の里,http://tennenonsen-koganenosato.net/,0476-37-7788,千葉県富里市七栄298-7
しそう よい温泉,http://www.yoionsen.co.jp/,0790-63-2615,兵庫県宍粟市山崎町与位66-3
ジェームス山天然温泉 月の湯舟（つきのゆふね）,http://www.tsuki-no-yufune.com/,078-752-2619,兵庫県神戸市垂水区青山台7-4-46
明石大蔵海岸 龍の湯（たつのゆ）,http://www.tatsunoyu1268.com/index.html,078-912-1268,兵庫県明石市大蔵海岸通1-2-2
天然温泉 きぬの湯,http://www.kinunoyu.com/,0297-20-3751,茨城県常総市内守谷町きぬの里1-5-6
天然温泉 ロテン・ガーデン,http://www.roten-garden.com/,042-774-2681,東京都町田市相原町358
天然温泉　テルマー湯（てるまーゆ）,http://thermae-yu.jp/,03-5285-1726,東京都東京都新宿区歌舞伎町1-1-2
美楽温泉 SPA-HERBS（スパハーブス）,http://spa-herbs.jp/,048-669-6626,埼玉県さいたま市北区植竹町1-816-7
東京健康ランドまねきの湯(旧 東京健康ランド),,03-3878-4126,東京都江戸川区船堀1-2-1
山王温泉 喜多の湯（きたのゆ）,http://www.super-sentou.com/sannou/,052-331-4126,愛知県名古屋市中川区山王1-601
INSPA横浜（インスパ横浜）,http://www.inspa.co.jp/,045-451-4301,神奈川県横浜市神奈川区山内町15-2
THE SPA 西新井（ザ・スパ西新井）,http://www.central.co.jp/thespa/nishiarai/index.html,03-5888-1526,東京都足立区西新井栄町1-17-10 セントラルウェルネスタウン3階
天の橋立 岩滝温泉 クアハウス岩滝,http://www.dolphin-group.co.jp/kurhaus-iwataki/,0772-46-3500,京都府与謝郡与謝野町字岩滝470
RAKU SPA Cafe 浜松（らくスパ カフェ 浜松）,http://rakuspa.com/,053-445-4919,静岡県浜松市南区若林町1680-5
湯村ホテルB＆B,http://www.yumura-hotel.com,055-254-1111,山梨県甲府市湯村3-3-11
スパ＆ホテル 八王子温泉 やすらぎの湯,http://www.yu-granspa.com/,042-648-5111,東京都八王子市中町2-1 グランド東京ビル3・4・5・6F（フロント5F）
湘南台温泉らく,http://shonandaionsen-raku.jp/,0466-43-1126,神奈川県藤沢市湘南台2-7-5
華の湯 ヒブラン　馬借店,http://hananoyu-hiburan.com/,093-512-3288,福岡県北九州市小倉北区馬借1-9-8　3F/4F
オアシスサウナアスティル,,03-5401-0356,東京都港区新橋3丁目12番3号　3F（受付）
屋久島 天然温泉 縄文の宿 まんてん,,0997-43-5751,鹿児島県熊毛郡屋久島町小瀬田812-33
癒しの宿 クアハウス白浜,http://kurhouse-shirahama.or.jp/,0739-42-4175,和歌山県西牟婁郡白浜町3102
天空のアジト　マルシンスパ（旧サウナマルシン）,http://marushinspa.jp/,03-3376-5225,東京都渋谷区笹塚1-58-6 マルシンビル10F
石神温泉（いしがみおんせん）,,0175-25-2411,青森県むつ市関根北関根ノ内袖角地342-61
天然温泉 海辺の湯（うみべのゆ）,http://www.umibe-4126.com/,0439-69-8500,千葉県富津市金谷525-17
ヒルトン小田原リゾート&スパ,,0465-29-1000,神奈川県小田原市根府川583-1
足利健康ランド,http://ashiken.3riku.co.jp/index.html,0284-73-0105,栃木県足利市朝倉町234
潮芦屋温泉 スパ水春（スパすいしゅん）,http://suisyun.jp/ashiya/,0797-32-1126,兵庫県芦屋市海洋町10-2
ほったらかし温泉 あっちの湯・こっちの湯,http://www.hottarakashi-onsen.com/,0553-23-1526,山梨県山梨市矢坪1669-18
昭島温泉　湯楽の里（ゆらのさと）,http://www.yurakirari.com/yuranosato/tenpo/akisima.html,042-500-2615,東京都昭島市美堀町3-14-10
相模・下九沢温泉 湯楽の里（ゆらのさと）,http://www.yurakirari.com/yuranosato/tenpo/sagami.html,042-764-2626,神奈川県相模原市緑区下九沢2385-1
春日部温泉 湯楽の里（ゆらのさと）,http://www.yurakirari.com/yuranosato/tenpo/kasukabe.html,048-755-4126,埼玉県春日部市小渕105-1
船橋温泉 湯楽の里（ゆらのさと）,http://www.yurakirari.com/yuranosato/tenpo/funabashi.html,047-495-2626,千葉県船橋市山手3-4-1
ひたちなか温泉 喜楽里 別邸（きらり別邸）,,029-229-2641,茨城県ひたちなか市大字市毛640番地2
横須賀温泉 湯楽の里（ゆらのさと）,http://www.yurakirari.com/yuranosato/tenpo/yokosuka.html,046-845-1726,神奈川県横須賀市馬堀海岸4-1-23
花山温泉 薬師の湯（はなやまおんせん やくしのゆ）,http://www.hanayamaonsen.com/,073-471-3277,和歌山県和歌山市鳴神574
極楽湯 和光店,,048-451-4126,埼玉県和光市白子1-7-6
ふじの温泉 東尾垂の湯（ひがしおたるのゆ）,http://www.higashiotarunoyu.jp/index.html,042-689-2360,神奈川県相模原市緑区牧野8114-2
おふろcafe'白寿の湯（おふろカフェ はくじゅのゆ）,http://ofurocafe-hakujyu.com/,0274-52-3771,埼玉県児玉郡神川町渡瀬337-1
バーデと天然温泉 豊島園 庭の湯,http://www.niwanoyu.jp/,03-3990-4126,東京都練馬区向山3-25-1
宮沢湖温泉 喜楽里 別邸（きらり別邸）,http://www.yurakirari.com/kirari-net/miyazawako_top.html,042-983-4126,埼玉県飯能市大字宮沢27-49
さいたま清河寺温泉（せいがんじおんせん）,http://seiganji-onsen.com/,048-625-7373,埼玉県さいたま市西区清河寺683-4
溝口温泉 喜楽里（きらり）,http://www.yurakirari.com/kirari-net/mizonokuchi_top.html,044-741-4126,神奈川県川崎市高津区千年1068-1
博多 由布院・武雄温泉 万葉の湯,http://www.manyo.co.jp/hakata/,092-452-4126,福岡県福岡市博多区豊2-3-66
道志川温泉紅椿の湯（どうしがわおんせんべにつばきのゆ）,http://www.benitubakinoyu.com/,0554-20-4500,山梨県南都留郡道志村小椿3888
スパ＆ホテル 舞浜ユーラシア,http://www.my-spa.jp/,047-351-4126,千葉県浦安市千鳥13-20
秩父温泉　満願の湯（まんがんのゆ）,http://www.chichibuonsen.co.jp/,0494-62-3026,埼玉県秩父郡皆野町下日野沢4000
昭和レトロな温泉銭湯 玉川温泉,http://tamagawa-onsen.com/,0493-65-4977,埼玉県比企郡ときがわ町玉川3700
神々が宿る杜の天然温泉 かもきみの湯,http://www.kamokiminoyu.net/,0745-66-2641,奈良県御所市五百家333
生涯青春の湯・ひので三ッ沢つるつる温泉,http://www.gws.ne.jp/home/onsen/,042-597-1126,東京都西多摩郡日の出町大久野4718
美人湯 祥風苑,http://www.syofuen.co.jp/,072-689-6700,大阪府高槻市塚脇4-20-3
湧出天然温泉 くつろぎの郷 湯楽,http://osaka.yuraku4126.com/,06-4702-4126,大阪府大阪市住之江区北加賀屋3-5-37
天然温泉 森のせせらぎ なごみ,http://nagomiyu.jp/,0480-22-1705,埼玉県久喜市江面1574-1
国立温泉　湯楽の里（ゆらのさと）,http://www.yurakirari.com/yuranosato/tenpo/kunitachi.html,042-580-1726,東京都国立市谷保3143-1「フレスポ国立南」内
大江戸温泉物語 浦安万華郷（うらやすまんげきょう）,http://www.ooedoonsen.jp/urayasu/,047-304-4126,千葉県浦安市日の出7-3-12
大宇陀温泉あきののゆ,http://www.akinonoyu.com/,0745-83-4126,奈良県宇陀市大宇陀拾生250-2
所沢温泉 湯楽の里（ゆらのさと）,http://www.yurakirari.com/yuranosato/tenpo/tokorozawa.html,04-2943-0126,埼玉県所沢市下富604
はやぶさ温泉,http://www.hayabusaonsen.net/,0553-35-2611,山梨県山梨市牧丘町隼818-1
有馬街道温泉すずらんの湯,http://www.suzurann.jp/,078-595-2600,兵庫県神戸市北区山田町小部妙賀11-1
須川高原温泉（すかわこうげんおんせん）,http://www.sukawaonsen.jp/,0191-23-9337,岩手県一関市厳美町祭畤山国有林46林班ト
市原温泉　湯楽の里（ゆらのさと）,http://www.yurakirari.com/yuranosato/tenpo/itihara.html,0436-40-4126,千葉県市原市古市場329-1
心と身体の癒しの森 るり渓温泉（るりけいおんせん）,http://rurikei.jp/onsen,0771-65-5001,京都府南丹市大河内広谷1-14
リヴァージュ スパひきがわ「渚の湯」,http://www.rivage-spa-hikigawa.jp/,0739-52-2370,和歌山県西牟婁郡白浜町日置1013-25
天然温泉 白井の湯（しろいのゆ）,http://shiroinoyu.com/,047-497-2626,千葉県白井市中149-1
極楽湯 柏店,http://www.gokurakuyu.ne.jp/gokurakuyu/tempo/kashiwa/,04-7137-4126,千葉県柏市大山台1-18
源泉野天風呂 那珂川清滝（なかがわせいりゅう）,http://www.nakagawaseiryu.jp/,092-952-8848,福岡県筑紫郡那珂川町南面里326
スーパー健康ランド 華のゆ 羽生,,048-560-4126,埼玉県羽生市西3丁目19-3
天然温泉 ふるさとの湯,http://www.furusatonoyu.com/,049-227-9126,埼玉県坂戸市粟生田40番地
湯楽の里 日立店（ゆらのさと）,http://www.yurakirari.com/yuranosato/tenpo/hitachi.html,0294-25-4126,茨城県日立市河原子町1-1-6
牛滝温泉いよやかの郷,http://www.iyoyaka.jp/index.html,072-479-2641,大阪府岸和田市大沢町1156
野天風呂 蔵の湯 東松山店（くらのゆ）,http://www.kuranoyu.jp/kuranoyu1_top.html,0493-23-2641,埼玉県東松山市柏崎660
スパリゾート雄琴あがりゃんせ,http://www.agaryanse.co.jp/,077-577-3715,滋賀県大津市苗鹿3-9-5
極楽湯 多摩センター店,http://www.gokurakuyu.ne.jp/gokurakuyu/tempo/tamacenter/,042-357-8626,東京都多摩市落合1-30-1
スパバレイ枚方南（ひらかたみなみ）,http://www.hirakata-u.com/,072-808-4126,大阪府枚方市津田山手1-24-1
ふくろうの湯,http://www.fukurou-yu.com/,073-423-4126,和歌山県和歌山市本町2丁目1番地　フォルテワジマ地下1階
川根温泉ふれあいの泉,http://kawaneonsen.jp/,0547-53-4330,静岡県島田市笹間渡220
スパディオ,http://www.spadio.com/,03-3967-1126,東京都板橋区宮本町49-4
天然温泉 満天の湯,http://mantennoyu.com/,045-370-4126,神奈川県横浜市保土ケ谷区上星川3-1-1
栃木温泉 湯楽の里（ゆらのさと）,http://www.yurakirari.com/yuranosato/tenpo/tochigi.html,0282-20-2641,栃木県栃木市大町22-70
伏見 力の湯,http://www.chikara-u.com/,075-645-4126,京都府京都市伏見区竹田青池町3
極楽湯 奈良店,,0742-32-1126,奈良県奈良市大安寺町510
スーパー銭湯　湯の森所沢,http://www.jp-l.co.jp/yunomori/,04-2945-1826,"埼玉県所沢市下安松945-1,ヒューマックスパビリオン所沢２F"
ホテルサンバレー那須,http://www.nasu3800.co.jp/,0287-76-3800,栃木県那須郡那須町湯本203
極楽湯 幸手店,http://www.gokurakuyu.ne.jp/search/1103.html,0480-44-4126,埼玉県幸手市東2-1-27
新湯治場 秋山温泉,http://www.akiyamaonsen.com/,0554-56-2611,山梨県上野原市秋山2210
天然温泉 真名井の湯 大井店（まないのゆ）,http://manainoyu.com,049-267-2641,埼玉県ふじみ野市大井2-19-1
よしかわ天然温泉ゆあみ,http://www.yuami.com/,048-982-2647,埼玉県吉川市保1-14-5
極楽湯 横浜芹が谷店,http://www.gokurakuyu.ne.jp/gokurakuyu/tempo/serigaya/,045-820-4126,神奈川県横浜市港南区芹が谷5-54-8
北本温泉 湯楽の里（ゆらのさと）,http://www.yurakirari.com/yuranosato/tenpo/kitamoto.html,048-590-4126,埼玉県北本市二ツ家3-162-1
かすかべ湯元温泉,http://www.kasukabeonsen.com/,048-733-1126,埼玉県春日部市下大増新田66-1
湯楽の里 松戸店（ゆらのさと）,http://www.yurakirari.com/yuranosato/tenpo/matudo.html,047-303-4126,千葉県松戸市和名ケ谷947-3
一宮温泉まほろばの湯,http://www.harima-ichinomiya.com/mahorobanoyu/,0790-74-8164,兵庫県宍粟市一宮町三方町家原624-1
府中駅前天然温泉 縄文の湯,,042-358-1151,東京都府中市宮西町1-5-1フラココ第8ビル6F
天然自家源泉　星音の湯,http://www.beyer.jp/seine/,0494-77-1188,埼玉県秩父市下吉田483-2
花の駅・片品　花咲の湯（かたしな　はなさくのゆ）,http://www.hanasakunoyu.com,0278-20-7111,群馬県利根郡片品村花咲1113
みみずくの湯,http://www.shinshuu-hakuba.com/onsen/mimizukunoyu/,0261-72-6542,長野県北安曇郡白馬村北城5480
かっぱ天国,http://www.kappa1059.co.jp/,0460-85-6121,神奈川県足柄下郡箱根町湯本777
天然温泉コロナの湯 安城店,http://www.korona.co.jp/Onsen/anj/index.asp,0566-74-8611,愛知県安城市浜富町6-8
土岐よりみち温泉,http://www.yorimichi-onsen.jp/,0572-55-4126,"岐阜県土岐市土岐ヶ丘4-5-3,（テラスゲート土岐内）"
天然温泉 ゆの郷 Spa Nusa Dua（ゆのさとスパヌサドゥア）,http://www.kawaguchi-yunosato.com/,048-254-1126,埼玉県川口市上青木1-2-30
東京荻窪天然温泉 なごみの湯,http://www.nagomino-yu.com/,03-3398-4126,東京都杉並区上荻1-10-10
スカイスパYOKOHAMA（スカイスパヨコハマ）,http://www.skyspa.co.jp/,045-461-1126,神奈川県横浜市西区高島2-19-12 スカイビル14・15階
天然温泉コロナの湯 小田原店,http://www.korona.co.jp/Onsen/odw/index.asp,0465-45-5660,神奈川県小田原市前川219-4
極楽湯 茨木店,,072-645-4126,大阪府茨木市田中町18-18
都幾川四季彩館（ときがわしきさいかん）,http://www.town.tokigawa.lg.jp/forms/info/info.aspx?info_id=11576,0493-65-5515,埼玉県比企郡ときがわ町別所556-1
夢古道の湯（ゆめこどうのゆ）,http://yumekodo.jp/,0597-22-1124,三重県尾鷲市向井12-4
湯の里おかだ,http://www.yunosato-y.jp/,0460-85-3955,神奈川県足柄下郡箱根町湯本茶屋191
天然露天温泉スパスミノエ,http://www.spasuminoe.jp/index.html,06-6685-1126,大阪府大阪市住之江区泉1-1-82 ゴルフスミノエ内
長久手天然温泉 ござらっせ,http://www.nagakuteonsen.jp/index.html,0561-64-3511,愛知県愛知郡長久手町前熊下田170
湯楽の里 取手店（ゆらのさと）,http://www.yurakirari.com/yuranosato/tenpo/toride.html,0297-70-5526,茨城県取手市寺田5001-2
湯遊び処 箱根の湯,http://www.hakonenoyu.co.jp/,0460-85-8080,神奈川県足柄下郡箱根町湯本茶屋100-1
湯楽の里 土浦店（ゆらのさと）,http://www.yurakirari.com/yuranosato/tenpo/tuchiura.html,029-825-1526,茨城県土浦市真鍋新町20-43 
神戸クアハウス,http://www.kobe-kua-house.com/,078-222-3755,兵庫県神戸市中央区二宮町3-10-15
湯楽の里 伊勢崎店（ゆらのさと）,http://www.yurakirari.com/yuranosato/tenpo/isezaki.html,0270-22-2641,群馬県伊勢崎市韮塚町1191-1
おびなたの湯,http://www.shinshuu-hakuba.com/onsen/obinatanoyu/,0261-72-3745,長野県北安曇郡白馬村北城9346
箱根湯の花プリンスホテル（旧箱根湯の花温泉ホテル）,http://www.princehotels.co.jp/yunohana/,0460-83-5111,神奈川県足柄下郡箱根町芦之湯93
小田原お堀端 万葉の湯,http://www.manyo.co.jp/odawara/,0465-23-1126,神奈川県小田原市栄町1-5-14
巌立峡ひめしゃがの湯（かんだてきょう）,http://himesyagaspa.web.fc2.com/,0576-62-3434,岐阜県下呂市小坂町落合1656
えびすの湯　一休,http://imazu19.jp/,0798-26-1519,兵庫県西宮市今津出在家町7-40
湯郷小住温泉（ゆごうこじゅうおんせん）,http://www.yugo.co.jp/spa/kojyu/index.html,0278-50-1155,群馬県利根郡川場村湯原1851-2
バーデンパークSOGI(バーデンパーク そぎ）,http://badenpark.net/,0572-52-1126,岐阜県土岐市曽木町1300-1
箕郷温泉　まねきの湯（旧 箕郷温泉 サンエイの湯）,,027-340-4126,群馬県高崎市箕郷町上芝853-1
四万やまぐち館（しまやまぐちかん）,http://yamaguchikan.co.jp/,0279-64-2011,群馬県吾妻郡中之条町四万甲3876-1
熊谷温泉 湯楽の里（ゆらのさと）,http://www.yurakirari.com/yuranosato/tenpo/kumagaya.html,048-525-4126,埼玉県熊谷市月見町2-1-65
極楽湯 吹田店,,06-6382-9926,大阪府吹田市岸部南1-2-1
タイムズ スパ・レスタ,http://www.timesspa-resta.jp/,03-5979-8924,"東京都豊島区東池袋4-25-9,タイムズステーション池袋,10階～12階"
ヒルホテル サンピア伊賀,http://www.hh-sunpia-iga.co.jp/,0595-24-7000,三重県伊賀市西明寺2756-104
天然温泉 ヌーランド さがみゆ,http://www.nu-land.com/,03-3739-1126,東京都大田区仲六郷2-7-5
ナステビュウ湯の山,http://yunoyama.jp/,025-596-2619,新潟県十日町市松之山湯山1252-1
アルプス街道平湯,http://www.nouhibus.co.jp/alps/index.html,0578-89-2611,岐阜県高山市奥飛騨温泉郷平湯628
浅草ROXまつり湯,http://www.maturi-yu.com/,03-3836-7878,東京都台東区浅草1-25-15浅草ROX6・7Ｆ
ふじやま温泉,http://www.fujiyamaonsen.jp/,0555-22-1126,山梨県富士吉田市新西原4-17-1
ヨコヤマ・ユーランド鶴見,http://www.yu-land.com/,045-585-1126,神奈川県横浜市鶴見区下末吉2-21-21
ゆとりの郷 にいざ温泉,http://www.niizaonsen.com/,048-479-4126,埼玉県新座市本多2-1-5
スパ＆リゾート九十九里　太陽の里,http://www.taiyounosato.co.jp/,0475-32-5550,千葉県長生郡長生村一松3445
酒々井温泉 湯楽の里(ゆらのさと）,,043-312-0026,千葉県印旛郡酒々井町飯積1-1-1
渓雲閣（けいうんかく）,http://www.keiunkaku.com/,0287-32-2361,栃木県那須塩原市湯本塩原37
天然温泉コロナの湯 中川店,http://www.korona.co.jp/Onsen/nak/index.asp,052-303-9711,愛知県名古屋市中川区江松3-110
京都タワー大浴場～YUU～（ゆう）,,075-361-3215,京都府京都市下京区烏丸通七条下ル 東塩小路町 721-1 京都タワービルB3F
THE SPA 成城（ザ・スパ成城）,http://www.central.co.jp/thespa/seijo/,03-5429-1526,東京都世田谷区千歳台3-20-2  セントラルウエルネスタウン2階
養老温泉 ゆせんの里 ホテルなでしこ,http://www.natural-co.com/,0584-34-1313,岐阜県養老郡養老町押越1522-1
ホテル 神の湯温泉,,0551-28-5000,山梨県甲斐市竜地17
犬鳴山温泉郷 み奈美亭（いぬなきやまおんせんきょう みなみてい）,,0724-59-7336,大阪府泉佐野市大木2236
癒しの里 伊賀の湯,http://www.iganoyu.com/,0595-21-4126,三重県伊賀市久米町687-1
湘南ひらつか太古の湯 グリーンサウナ,http://www.green-sauna.com/,0463-22-1772,神奈川県平塚市錦町1-18
天然温泉 ゆの里,http://www.spa-yunosato.com/,0736-33-1126,和歌山県橋本市神野々898
ゆめみ処おふろの王様 海老名店,http://www.kokochiyu.com/ebina/,046-236-0268,神奈川県海老名市柏ヶ谷555-1
白川温泉　チムジルバンスパ神戸,http://www.chimuspa.com/,078-747-1126,兵庫県神戸市須磨区車字奥中ノ尾772-6
極楽湯 上尾店,http://www.gokurakuyu.ne.jp/gokurakuyu/tempo/ageo/,048-779-2641,埼玉県上尾市大字上尾村500-1
合格の湯（天然温泉まんどの湯）,http://www.mandonoyu.com,079-663-5556,兵庫県養父市三宅821
かやぶきの郷 薬師温泉 旅籠,http://www.yakushi-hatago.co.jp/facilities/,0279-69-2422,群馬県吾妻郡東吾妻町本宿3330-20
Spa＆Hotel　JNファミリー,http://www.jn-family.com,0120-307-326,神奈川県相模原市中央区相模原7-1-20
はだの・湯河原温泉 万葉の湯,http://www.manyo.co.jp/hadano/,0463-85-4126,神奈川県秦野市河原町2-54
くしはら温泉 ささゆりの湯,http://sasayurinoyu.jp/,0573-52-3131,岐阜県恵那市串原3135-2
結びの宿 愛隣館（あいりんかん）,http://www.airinkan.com/,0198-25-2341,岩手県花巻市鉛西鉛23
おふろの王様 港南台店,,045-830-2603,神奈川県横浜市港南区日野中央2-45-7
ビアスパーク しもつま,http://www.beerspark.com/,0296-30-5121,茨城県下妻市長塚乙70-3
おかや温泉 美肌の湯 ロマネット,http://okaya-romanet.jp/,0266-27-6080,長野県岡谷市長地権現町4-1-24
サウナ&スパ大東洋,,06-6312-7522,大阪府大阪市北区中崎西2-1-9
日帰り天然温泉 竜泉寺の湯 湘南茅ヶ崎店（りゅうせんじのゆ）,http://www.ryusenjinoyu.com/chigasaki/,0467-57-2641,神奈川県茅ヶ崎市中島1339-1
四季の湯温泉ヘリテイジリゾート（ときのゆおんせん）,,048-536-1212,埼玉県熊谷市小江川228
かくれ湯の里　信玄館（しんげんかん）,http://www.shingenkan.co.jp/,0465-78-3811,神奈川県足柄上郡山北町中川577-6
湯泉郷温泉館 湯招花（とうしょうか）,http://toshoka.net/,0952-64-2683,佐賀県佐賀市富士町上熊川180-1
ホロルの湯,http://www.hororunoyu.jp/,029-288-7775,茨城県東茨城郡城里町下古内1829-3
スパ湯～ワールド,http://www.you-world.e-tsukuba.jp,029-839-5555,茨城県つくば市下原370-1
シーサイド・スパ八景島,http://www.seaside-spa.net/index.html,045-791-3575,神奈川県横浜市金沢区柴町361
北方温泉四季の里 七彩の湯(なないろのゆ）,http://www.nanaironoyu.com/,0954-36-5926,佐賀県武雄市北方町大崎4300-1
極楽湯 堺泉北店,,072-295-4126,大阪府堺市南区豊田825
亀山温泉ホテル,http://www.kameyamaonsen.jp/,0439-39-2121,千葉県君津市豊田旧菅間田65
天然温泉コロナの湯 大垣店,http://www.korona.co.jp/Onsen/ogk/index.asp,0584-75-5741,岐阜県大垣市三塚町字西沼523-1
沼津・湯河原温泉 万葉の湯,http://www.manyo.co.jp/numazu/,055-927-4126,静岡県沼津市岡宮1208-1
本城天然温泉 おとぎの杜（もり）,http://www.otogi-mori.com/,093-692-4126,福岡県北九州市八幡西区御開1-19-1
湯花楽 秦野店（ゆからく）,http://www.yukaraku.com/hadano/,0463-84-4126,神奈川県秦野市平沢295-2
白馬八方温泉 八方の湯（旧 白馬八方温泉 第一郷の湯）,http://hakuba-happo-onsen.jp/happo/,0261-72-5705,長野県北安曇郡白馬村北城5701-1
天然温泉コロナの湯 半田店,http://www.korona.co.jp/Onsen/han/index.asp,0596-21-8677,愛知県半田市旭日3-11-1
天然温泉 石道（いしみち）,http://www.ishimichi.com/,072-799-0138,兵庫県川西市石道下垣内216-1
草津湯元 水春,http://suisyun.jp/kusatsu/,077-516-1126,滋賀県草津市新浜町300番地 イオンモール草津 スポーツ&レジャー棟
天光の湯,http://www.tenko-spa.jp/,0572-24-4126,岐阜県多治見市大畑町6-105-1
宇都宮天然温泉 ベルさくらの湯,,028-663-4126,栃木県宇都宮市陽東6-5-31
湯けむり屋敷　和おんの湯（わおんのゆ）,http://www.waonnoyu.com/,076-251-8889,石川県金沢市神宮寺2-30-1
極楽湯 三島店,http://www.gokurakuyu.ne.jp/gokurakuyu/tempo/mishima/,055-991-4126,静岡県三島市三好町4番23号 せせらぎパーク三好内
岩盤房 二股温泉 きらく（がんばんぼう　きらく）,http://g-kiraku.wix.com/ganbanyoku,049-275-0268,埼玉県富士見市西みずほ台1-2-12 城北みずほ台ビル
和合温泉　湯楽（ゆらく）,http://wagou.yuraku4126.com/,052-800-2641,愛知県日進市浅田平子3-320
郷の湯（さとのゆ）,http://hakuba-happo-onsen.jp/satonoyu/,0261-72-6541,長野県北安曇郡白馬村北城5170
湯郷三島温泉（ゆごうみしま）,http://yugo.co.jp/spa/mishima/index.html,055-988-0600,静岡県三島市徳倉1195
北八ヶ岳松原湖温泉 八峰の湯（ヤッホーのゆ）,http://www.yahho-onsen.jp/,0267-93-2288,長野県南佐久郡小海町大字豊里5918-2
